Ring,Coordinate,Angle (α′),Pattern
1,"(8.00, 0.00)",15.09,Anticlockwise
1,"(0.00, -8.00)",-73.78,Clockwise
1,"(-8.00, 0.00)",7.37,Anticlockwise
1,"(0.00, 8.00)",-82.08,Clockwise
2,"(48.00, 0.00)",-9.10,Clockwise
2,"(34.00, -34.00)",51.10,Anticlockwise
2,"(0.00, -48.00)",-65.84,Clockwise
2,"(-34.00, -34.00)",-26.19,Clockwise
2,"(-48.00, 0.00)",-52.64,Clockwise
2,"(-34.00, 34.00)",-6.87,Clockwise
2,"(0.00, 48.00)",-58.63,Clockwise
2,"(34.00, 34.00)",-34.65,Clockwise
3,"(88.00, 0.00)",-11.90,Clockwise
3,"(76.00, -44.00)",-17.49,Clockwise
3,"(44.00, -76.00)",13.23,Anticlockwise
3,"(0.00, -88.00)",-75.97,Clockwise
3,"(-44.00, -76.00)",-53.07,Clockwise
3,"(-76.00, -44.00)",-38.83,Clockwise
3,"(-88.00, 0.00)",-31.39,Clockwise
3,"(-76.00, 44.00)",-36.27,Clockwise
3,"(-44.00, 76.00)",1.97,Anticlockwise
3,"(0.00, 88.00)",-20.88,Clockwise
3,"(44.00, 76.00)",-34.14,Clockwise
3,"(76.00, 44.00)",-5.10,Clockwise
4,"(129.00, 0.00)",7.77,Anticlockwise
4,"(119.00, -49.00)",5.89,Anticlockwise
4,"(91.00, -91.00)",-2.10,Clockwise
4,"(49.00, -119.00)",7.54,Anticlockwise
4,"(0.00, -129.00)",-21.39,Clockwise
4,"(-49.00, -119.00)",-32.60,Clockwise
4,"(-91.00, -91.00)",-34.84,Clockwise
4,"(-119.00, -49.00)",-24.69,Clockwise
4,"(-129.00, 0.00)",-17.74,Clockwise
4,"(-119.00, 49.00)",-7.35,Clockwise
4,"(-91.00, 91.00)",44.78,Anticlockwise
4,"(-49.00, 119.00)",42.70,Anticlockwise
4,"(0.00, 129.00)",-7.49,Clockwise
4,"(49.00, 119.00)",-13.22,Clockwise
4,"(91.00, 91.00)",11.99,Anticlockwise
4,"(119.00, 49.00)",9.47,Anticlockwise
5,"(169.00, 0.00)",14.60,Anticlockwise
5,"(161.00, -52.00)",6.51,Anticlockwise
5,"(137.00, -99.00)",39.34,Anticlockwise
5,"(99.00, -137.00)",59.31,Anticlockwise
5,"(52.00, -161.00)",12.00,Anticlockwise
5,"(0.00, -169.00)",-2.27,Clockwise
5,"(-52.00, -161.00)",-10.39,Clockwise
5,"(-99.00, -137.00)",1.23,Anticlockwise
5,"(-137.00, -99.00)",-17.97,Clockwise
5,"(-161.00, -52.00)",-0.76,Clockwise
5,"(-169.00, 0.00)",69.97,Anticlockwise
5,"(-161.00, 52.00)",10.15,Anticlockwise
5,"(-137.00, 99.00)",18.27,Anticlockwise
5,"(-99.00, 137.00)",39.95,Anticlockwise
5,"(-52.00, 161.00)",-4.97,Clockwise
5,"(0.00, 169.00)",-12.07,Clockwise
