Ring,Coordinate,Angle (α′),Pattern
1,"(9.00, 0.00)",-11.51,Clockwise
1,"(0.00, -9.00)",75.94,Anticlockwise
1,"(-9.00, 0.00)",-14.23,Clockwise
1,"(0.00, 9.00)",78.33,Anticlockwise
2,"(52.00, 0.00)",-43.00,Clockwise
2,"(37.00, -37.00)",-75.92,Clockwise
2,"(0.00, -52.00)",86.11,Anticlockwise
2,"(-37.00, -37.00)",-46.53,Clockwise
2,"(-52.00, 0.00)",-18.60,Clockwise
2,"(-37.00, 37.00)",32.92,Anticlockwise
2,"(0.00, 52.00)",-47.67,Clockwise
2,"(37.00, 37.00)",-45.21,Clockwise
3,"(96.00, 0.00)",-21.29,Clockwise
3,"(83.00, -48.00)",-20.26,Clockwise
3,"(48.00, -83.00)",-22.21,Clockwise
3,"(0.00, -96.00)",-5.39,Clockwise
3,"(-48.00, -83.00)",-21.82,Clockwise
3,"(-83.00, -48.00)",-34.04,Clockwise
3,"(-96.00, 0.00)",-17.49,Clockwise
3,"(-83.00, 48.00)",-9.77,Clockwise
3,"(-48.00, 83.00)",16.24,Anticlockwise
3,"(0.00, 96.00)",-22.54,Clockwise
3,"(48.00, 83.00)",-22.68,Clockwise
3,"(83.00, 48.00)",-26.69,Clockwise
4,"(139.00, 0.00)",-4.08,Clockwise
4,"(128.00, -53.00)",31.08,Anticlockwise
4,"(98.00, -98.00)",-14.83,Clockwise
4,"(53.00, -128.00)",-33.68,Clockwise
4,"(0.00, -139.00)",4.59,Anticlockwise
4,"(-53.00, -128.00)",-2.28,Clockwise
4,"(-98.00, -98.00)",-10.77,Clockwise
4,"(-128.00, -53.00)",-9.73,Clockwise
4,"(-139.00, 0.00)",9.21,Anticlockwise
4,"(-128.00, 53.00)",14.03,Anticlockwise
4,"(-98.00, 98.00)",1.03,Anticlockwise
4,"(-53.00, 128.00)",64.74,Anticlockwise
4,"(0.00, 139.00)",-11.75,Clockwise
4,"(53.00, 128.00)",-2.61,Clockwise
4,"(98.00, 98.00)",-1.73,Clockwise
4,"(128.00, 53.00)",-1.51,Clockwise
5,"(182.00, 0.00)",68.17,Anticlockwise
5,"(173.00, -56.00)",38.73,Anticlockwise
5,"(147.00, -107.00)",53.16,Anticlockwise
5,"(107.00, -147.00)",66.19,Anticlockwise
5,"(56.00, -173.00)",-79.27,Clockwise
5,"(0.00, -182.00)",66.37,Anticlockwise
5,"(-56.00, -173.00)",32.99,Anticlockwise
5,"(-107.00, -147.00)",18.21,Anticlockwise
5,"(-147.00, -107.00)",48.54,Anticlockwise
5,"(-173.00, -56.00)",70.19,Anticlockwise
5,"(-182.00, 0.00)",28.52,Anticlockwise
5,"(-173.00, 56.00)",9.80,Anticlockwise
5,"(-147.00, 107.00)",-11.30,Clockwise
5,"(-107.00, 147.00)",74.94,Anticlockwise
5,"(-56.00, 173.00)",49.22,Anticlockwise
5,"(0.00, 182.00)",-3.81,Clockwise
5,"(56.00, 173.00)",4.72,Anticlockwise
5,"(107.00, 147.00)",26.32,Anticlockwise
5,"(147.00, 107.00)",-6.07,Clockwise
5,"(173.00, 56.00)",10.35,Anticlockwise
6,"(226.00, 0.00)",-86.34,Clockwise
6,"(218.00, -58.00)",55.34,Anticlockwise
6,"(196.00, -113.00)",44.25,Anticlockwise
6,"(160.00, -160.00)",37.07,Anticlockwise
6,"(113.00, -196.00)",-55.23,Clockwise
6,"(58.00, -218.00)",-75.10,Clockwise
6,"(0.00, -226.00)",87.90,Anticlockwise
6,"(-58.00, -218.00)",46.75,Anticlockwise
6,"(-113.00, -196.00)",61.03,Anticlockwise
6,"(-160.00, -160.00)",68.87,Anticlockwise
