Ring,Coordinate,Angle (α′),Pattern
1,"(8.00, 0.00)",32.55,Anticlockwise
1,"(0.00, -8.00)",-60.38,Clockwise
1,"(-8.00, 0.00)",27.30,Anticlockwise
1,"(0.00, 8.00)",-63.78,Clockwise
2,"(45.00, 0.00)",27.16,Anticlockwise
2,"(32.00, -32.00)",39.54,Anticlockwise
2,"(0.00, -45.00)",15.45,Anticlockwise
2,"(-32.00, -32.00)",-10.48,Clockwise
2,"(-45.00, 0.00)",18.65,Anticlockwise
2,"(-32.00, 32.00)",75.80,Anticlockwise
2,"(0.00, 45.00)",74.73,Anticlockwise
2,"(32.00, 32.00)",-19.35,Clockwise
3,"(82.00, 0.00)",18.92,Anticlockwise
3,"(71.00, -41.00)",36.92,Anticlockwise
3,"(41.00, -71.00)",2.25,Anticlockwise
3,"(0.00, -82.00)",-0.77,Clockwise
3,"(-41.00, -71.00)",55.23,Anticlockwise
3,"(-71.00, -41.00)",-25.28,Clockwise
3,"(-82.00, 0.00)",34.21,Anticlockwise
3,"(-71.00, 41.00)",34.18,Anticlockwise
3,"(-41.00, 71.00)",37.88,Anticlockwise
3,"(0.00, 82.00)",36.61,Anticlockwise
3,"(41.00, 71.00)",21.74,Anticlockwise
3,"(71.00, 41.00)",11.93,Anticlockwise
4,"(118.00, 0.00)",43.65,Anticlockwise
4,"(109.00, -45.00)",56.09,Anticlockwise
4,"(83.00, -83.00)",-9.18,Clockwise
4,"(45.00, -109.00)",-27.55,Clockwise
4,"(0.00, -118.00)",-31.09,Clockwise
4,"(-45.00, -109.00)",-31.60,Clockwise
4,"(-83.00, -83.00)",-39.51,Clockwise
4,"(-109.00, -45.00)",-34.21,Clockwise
4,"(-118.00, 0.00)",11.53,Anticlockwise
4,"(-109.00, 45.00)",-33.56,Clockwise
4,"(-83.00, 83.00)",-7.58,Clockwise
4,"(-45.00, 109.00)",16.09,Anticlockwise
4,"(0.00, 118.00)",18.44,Anticlockwise
4,"(45.00, 109.00)",0.98,Anticlockwise
4,"(83.00, 83.00)",-1.30,Clockwise
4,"(109.00, 45.00)",3.07,Anticlockwise
5,"(155.00, 0.00)",-41.16,Clockwise
5,"(147.00, -48.00)",-81.98,Clockwise
5,"(125.00, -91.00)",-35.43,Clockwise
5,"(91.00, -125.00)",-31.40,Clockwise
5,"(48.00, -147.00)",-44.99,Clockwise
5,"(0.00, -155.00)",-58.42,Clockwise
5,"(-48.00, -147.00)",-48.96,Clockwise
5,"(-91.00, -125.00)",-45.93,Clockwise
5,"(-125.00, -91.00)",-45.03,Clockwise
5,"(-147.00, -48.00)",36.99,Anticlockwise
5,"(-155.00, 0.00)",-27.61,Clockwise
5,"(-147.00, 48.00)",59.16,Anticlockwise
5,"(-125.00, 91.00)",-14.60,Clockwise
5,"(-91.00, 125.00)",-10.09,Clockwise
5,"(-48.00, 147.00)",3.60,Anticlockwise
5,"(0.00, 155.00)",-0.40,Clockwise
5,"(48.00, 147.00)",-4.13,Clockwise
5,"(91.00, 125.00)",-20.00,Clockwise
5,"(125.00, 91.00)",-12.00,Clockwise
5,"(147.00, 48.00)",-22.35,Clockwise
6,"(192.00, 0.00)",-88.96,Clockwise
6,"(185.00, -50.00)",-83.58,Clockwise
6,"(166.00, -96.00)",88.27,Anticlockwise
6,"(136.00, -136.00)",88.02,Anticlockwise
6,"(96.00, -166.00)",-53.71,Clockwise
6,"(50.00, -185.00)",79.17,Anticlockwise
6,"(0.00, -192.00)",-76.44,Clockwise
6,"(-50.00, -185.00)",-64.82,Clockwise
6,"(-96.00, -166.00)",-49.71,Clockwise
6,"(-136.00, -136.00)",-66.27,Clockwise
6,"(-166.00, -96.00)",54.33,Anticlockwise
6,"(-185.00, -50.00)",-18.84,Clockwise
