Ring,Coordinate,Angle (α′),Pattern
1,"(9.00, 0.00)",58.74,Anticlockwise
1,"(0.00, -9.00)",-28.64,Clockwise
1,"(-9.00, 0.00)",45.24,Anticlockwise
1,"(0.00, 9.00)",-40.11,Clockwise
2,"(52.00, 0.00)",86.81,Anticlockwise
2,"(37.00, -37.00)",-46.42,Clockwise
2,"(0.00, -52.00)",-42.85,Clockwise
2,"(-37.00, -37.00)",0.92,Anticlockwise
2,"(-52.00, 0.00)",14.28,Anticlockwise
2,"(-37.00, 37.00)",87.22,Anticlockwise
2,"(0.00, 52.00)",-49.66,Clockwise
2,"(37.00, 37.00)",-2.36,Clockwise
3,"(96.00, 0.00)",-51.69,Clockwise
3,"(83.00, -48.00)",-34.63,Clockwise
3,"(48.00, -83.00)",-13.70,Clockwise
3,"(0.00, -96.00)",6.52,Anticlockwise
3,"(-48.00, -83.00)",20.25,Anticlockwise
3,"(-83.00, -48.00)",19.93,Anticlockwise
3,"(-96.00, 0.00)",68.65,Anticlockwise
3,"(-83.00, 48.00)",60.59,Anticlockwise
3,"(-48.00, 83.00)",-49.06,Clockwise
3,"(0.00, 96.00)",-70.23,Clockwise
3,"(48.00, 83.00)",-37.87,Clockwise
3,"(83.00, 48.00)",-27.94,Clockwise
4,"(139.00, 0.00)",-19.09,Clockwise
4,"(128.00, -53.00)",-16.95,Clockwise
4,"(98.00, -98.00)",6.66,Anticlockwise
4,"(53.00, -128.00)",12.33,Anticlockwise
4,"(0.00, -139.00)",65.85,Anticlockwise
4,"(-53.00, -128.00)",-68.16,Clockwise
4,"(-98.00, -98.00)",-68.56,Clockwise
4,"(-128.00, -53.00)",-88.13,Clockwise
4,"(-139.00, 0.00)",74.49,Anticlockwise
4,"(-128.00, 53.00)",52.42,Anticlockwise
4,"(-98.00, 98.00)",20.29,Anticlockwise
4,"(-53.00, 128.00)",-28.32,Clockwise
4,"(0.00, 139.00)",-24.93,Clockwise
4,"(53.00, 128.00)",0.63,Anticlockwise
4,"(98.00, 98.00)",16.34,Anticlockwise
4,"(128.00, 53.00)",-15.59,Clockwise
5,"(182.00, 0.00)",-19.20,Clockwise
5,"(173.00, -56.00)",6.38,Anticlockwise
5,"(147.00, -107.00)",48.33,Anticlockwise
5,"(107.00, -147.00)",41.82,Anticlockwise
5,"(56.00, -173.00)",56.51,Anticlockwise
5,"(0.00, -182.00)",10.01,Anticlockwise
5,"(-56.00, -173.00)",-76.03,Clockwise
5,"(-107.00, -147.00)",-76.49,Clockwise
5,"(-147.00, -107.00)",-82.83,Clockwise
5,"(-173.00, -56.00)",79.52,Anticlockwise
5,"(-182.00, 0.00)",71.58,Anticlockwise
5,"(-173.00, 56.00)",71.98,Anticlockwise
5,"(-147.00, 107.00)",24.50,Anticlockwise
5,"(-107.00, 147.00)",19.92,Anticlockwise
5,"(-56.00, 173.00)",-19.21,Clockwise
5,"(0.00, 182.00)",-7.04,Clockwise
5,"(56.00, 173.00)",73.84,Anticlockwise
5,"(107.00, 147.00)",-24.78,Clockwise
5,"(147.00, 107.00)",6.24,Anticlockwise
5,"(173.00, 56.00)",17.19,Anticlockwise
6,"(226.00, 0.00)",34.29,Anticlockwise
6,"(218.00, -58.00)",34.11,Anticlockwise
6,"(196.00, -113.00)",70.70,Anticlockwise
6,"(160.00, -160.00)",53.76,Anticlockwise
6,"(113.00, -196.00)",30.44,Anticlockwise
6,"(58.00, -218.00)",2.19,Anticlockwise
6,"(0.00, -226.00)",52.46,Anticlockwise
6,"(-58.00, -218.00)",-1.35,Clockwise
6,"(-113.00, -196.00)",-81.50,Clockwise
6,"(-160.00, -160.00)",-3.76,Clockwise
6,"(-196.00, -113.00)",41.20,Anticlockwise
6,"(-218.00, -58.00)",73.31,Anticlockwise
6,"(-226.00, 0.00)",-56.95,Clockwise
6,"(-218.00, 58.00)",88.06,Anticlockwise
6,"(-196.00, 113.00)",55.99,Anticlockwise
6,"(-160.00, 160.00)",13.00,Anticlockwise
6,"(-113.00, 196.00)",15.93,Anticlockwise
6,"(-58.00, 218.00)",31.01,Anticlockwise
6,"(0.00, 226.00)",65.41,Anticlockwise
6,"(58.00, 218.00)",34.90,Anticlockwise
6,"(113.00, 196.00)",-78.80,Clockwise
6,"(160.00, 160.00)",49.09,Anticlockwise
6,"(196.00, 113.00)",7.52,Anticlockwise
6,"(218.00, 58.00)",33.43,Anticlockwise
7,"(269.00, 0.00)",51.21,Anticlockwise
7,"(262.00, -60.00)",40.32,Anticlockwise
7,"(242.00, -117.00)",46.29,Anticlockwise
7,"(210.00, -168.00)",59.68,Anticlockwise
7,"(168.00, -210.00)",63.33,Anticlockwise
7,"(117.00, -242.00)",-8.12,Clockwise
7,"(60.00, -262.00)",49.55,Anticlockwise
7,"(0.00, -269.00)",-83.78,Clockwise
7,"(-60.00, -262.00)",35.38,Anticlockwise
7,"(-117.00, -242.00)",-89.19,Clockwise
7,"(-168.00, -210.00)",-67.96,Clockwise
7,"(-210.00, -168.00)",-52.55,Clockwise
7,"(-242.00, -117.00)",-84.99,Clockwise
7,"(-262.00, -60.00)",35.04,Anticlockwise
7,"(-269.00, 0.00)",-45.59,Clockwise
7,"(-262.00, 60.00)",77.15,Anticlockwise
7,"(-242.00, 117.00)",-33.64,Clockwise
7,"(-210.00, 168.00)",73.25,Anticlockwise
7,"(-168.00, 210.00)",40.27,Anticlockwise
7,"(-117.00, 242.00)",48.43,Anticlockwise
7,"(-60.00, 262.00)",46.57,Anticlockwise
7,"(0.00, 269.00)",51.78,Anticlockwise
7,"(60.00, 262.00)",-38.23,Clockwise
7,"(117.00, 242.00)",27.87,Anticlockwise
7,"(168.00, 210.00)",75.93,Anticlockwise
7,"(210.00, 168.00)",-78.71,Clockwise
7,"(242.00, 117.00)",-59.12,Clockwise
7,"(262.00, 60.00)",77.52,Anticlockwise
8,"(313.00, 0.00)",49.36,Anticlockwise
8,"(307.00, -61.00)",61.83,Anticlockwise
8,"(289.00, -120.00)",36.04,Anticlockwise
8,"(260.00, -174.00)",50.68,Anticlockwise
8,"(221.00, -221.00)",40.78,Anticlockwise
8,"(174.00, -260.00)",55.78,Anticlockwise
8,"(120.00, -289.00)",-15.67,Clockwise
8,"(61.00, -307.00)",50.97,Anticlockwise
8,"(0.00, -313.00)",-40.51,Clockwise
8,"(-61.00, -307.00)",79.94,Anticlockwise
8,"(-120.00, -289.00)",-35.42,Clockwise
8,"(-174.00, -260.00)",-2.69,Clockwise
8,"(-221.00, -221.00)",36.96,Anticlockwise
8,"(-260.00, -174.00)",-65.14,Clockwise
8,"(-289.00, -120.00)",-88.63,Clockwise
8,"(-307.00, -61.00)",56.99,Anticlockwise
8,"(-313.00, 0.00)",-21.26,Clockwise
8,"(-307.00, 61.00)",80.49,Anticlockwise
8,"(-289.00, 120.00)",-22.03,Clockwise
8,"(-260.00, 174.00)",25.23,Anticlockwise
8,"(-221.00, 221.00)",57.28,Anticlockwise
8,"(-174.00, 260.00)",64.67,Anticlockwise
8,"(-120.00, 289.00)",60.28,Anticlockwise
8,"(-61.00, 307.00)",45.98,Anticlockwise
8,"(0.00, 313.00)",29.32,Anticlockwise
8,"(61.00, 307.00)",58.96,Anticlockwise
8,"(120.00, 289.00)",-84.66,Clockwise
8,"(174.00, 260.00)",75.98,Anticlockwise
8,"(221.00, 221.00)",43.22,Anticlockwise
8,"(260.00, 174.00)",70.20,Anticlockwise
8,"(289.00, 120.00)",80.11,Anticlockwise
8,"(307.00, 61.00)",6.28,Anticlockwise
9,"(356.00, 0.00)",14.53,Anticlockwise
9,"(351.00, -62.00)",26.11,Anticlockwise
9,"(335.00, -122.00)",20.64,Anticlockwise
9,"(308.00, -178.00)",-56.96,Clockwise
9,"(273.00, -229.00)",14.73,Anticlockwise
9,"(229.00, -273.00)",87.92,Anticlockwise
9,"(178.00, -308.00)",-1.25,Clockwise
9,"(122.00, -335.00)",73.74,Anticlockwise
9,"(62.00, -351.00)",-84.21,Clockwise
9,"(0.00, -356.00)",76.69,Anticlockwise
9,"(-62.00, -351.00)",32.87,Anticlockwise
9,"(-122.00, -335.00)",-68.13,Clockwise
9,"(-178.00, -308.00)",66.66,Anticlockwise
9,"(-229.00, -273.00)",89.51,Anticlockwise
9,"(-273.00, -229.00)",-35.69,Clockwise
9,"(-308.00, -178.00)",60.76,Anticlockwise
9,"(-335.00, -122.00)",34.02,Anticlockwise
9,"(-351.00, -62.00)",-37.24,Clockwise
9,"(-356.00, 0.00)",80.60,Anticlockwise
9,"(-351.00, 62.00)",39.98,Anticlockwise
9,"(-335.00, 122.00)",-11.71,Clockwise
9,"(-308.00, 178.00)",-54.18,Clockwise
9,"(-273.00, 229.00)",70.72,Anticlockwise
9,"(-229.00, 273.00)",72.95,Anticlockwise
9,"(-178.00, 308.00)",-86.84,Clockwise
9,"(-122.00, 335.00)",61.01,Anticlockwise
9,"(-62.00, 351.00)",34.50,Anticlockwise
9,"(0.00, 356.00)",-14.56,Clockwise
9,"(62.00, 351.00)",16.42,Anticlockwise
9,"(122.00, 335.00)",40.37,Anticlockwise
9,"(178.00, 308.00)",-28.53,Clockwise
