Ring,Coordinate,Angle (α′),Pattern
1,"(7.00, 0.00)",-26.09,Clockwise
1,"(0.00, -7.00)",58.86,Anticlockwise
1,"(-7.00, 0.00)",-31.99,Clockwise
1,"(0.00, 7.00)",73.30,Anticlockwise
2,"(43.00, 0.00)",-11.86,Clockwise
2,"(30.00, -30.00)",0.74,Anticlockwise
2,"(0.00, -43.00)",41.53,Anticlockwise
2,"(-30.00, -30.00)",-85.27,Clockwise
2,"(-43.00, 0.00)",15.22,Anticlockwise
2,"(-30.00, 30.00)",62.06,Anticlockwise
2,"(0.00, 43.00)",-60.59,Clockwise
2,"(30.00, 30.00)",-34.03,Clockwise
3,"(79.00, 0.00)",-32.68,Clockwise
3,"(68.00, -40.00)",-14.66,Clockwise
3,"(39.00, -68.00)",-38.60,Clockwise
3,"(0.00, -79.00)",35.83,Anticlockwise
3,"(-39.00, -68.00)",73.07,Anticlockwise
3,"(-68.00, -40.00)",54.42,Anticlockwise
3,"(-79.00, 0.00)",32.65,Anticlockwise
3,"(-68.00, 40.00)",26.47,Anticlockwise
3,"(-39.00, 68.00)",28.34,Anticlockwise
3,"(0.00, 79.00)",-47.92,Clockwise
3,"(39.00, 68.00)",-15.05,Clockwise
3,"(68.00, 40.00)",-32.32,Clockwise
4,"(115.00, 0.00)",-53.86,Clockwise
4,"(106.00, -44.00)",-76.14,Clockwise
4,"(81.00, -81.00)",-50.42,Clockwise
4,"(44.00, -106.00)",-39.30,Clockwise
4,"(0.00, -115.00)",0.98,Anticlockwise
4,"(-44.00, -106.00)",22.49,Anticlockwise
4,"(-81.00, -81.00)",30.36,Anticlockwise
4,"(-106.00, -44.00)",3.77,Anticlockwise
4,"(-115.00, 0.00)",30.86,Anticlockwise
4,"(-106.00, 44.00)",20.19,Anticlockwise
4,"(-81.00, 81.00)",5.29,Anticlockwise
4,"(-44.00, 106.00)",3.23,Anticlockwise
4,"(0.00, 115.00)",-31.70,Clockwise
4,"(44.00, 106.00)",-20.05,Clockwise
4,"(81.00, 81.00)",-1.32,Clockwise
4,"(106.00, 44.00)",-38.69,Clockwise
5,"(151.00, 0.00)",-85.20,Clockwise
5,"(144.00, -47.00)",-62.56,Clockwise
5,"(122.00, -89.00)",-65.48,Clockwise
5,"(89.00, -122.00)",-45.16,Clockwise
5,"(47.00, -144.00)",-44.30,Clockwise
5,"(0.00, -151.00)",-23.29,Clockwise
5,"(-47.00, -144.00)",-4.18,Clockwise
5,"(-89.00, -122.00)",1.75,Anticlockwise
5,"(-122.00, -89.00)",8.87,Anticlockwise
5,"(-144.00, -47.00)",-34.52,Clockwise
5,"(-151.00, 0.00)",-4.60,Clockwise
5,"(-144.00, 47.00)",3.15,Anticlockwise
5,"(-122.00, 89.00)",29.65,Anticlockwise
5,"(-89.00, 122.00)",19.43,Anticlockwise
5,"(-47.00, 144.00)",-6.98,Clockwise
5,"(0.00, 151.00)",-30.28,Clockwise
5,"(47.00, 144.00)",-38.79,Clockwise
5,"(89.00, 122.00)",-20.81,Clockwise
5,"(122.00, 89.00)",26.72,Anticlockwise
5,"(144.00, 47.00)",-34.87,Clockwise
6,"(187.00, 0.00)",76.09,Anticlockwise
6,"(181.00, -48.00)",85.29,Anticlockwise
6,"(162.00, -94.00)",81.94,Anticlockwise
6,"(132.00, -132.00)",20.20,Anticlockwise
6,"(93.00, -162.00)",78.63,Anticlockwise
6,"(48.00, -181.00)",-42.01,Clockwise
6,"(0.00, -187.00)",-26.84,Clockwise
6,"(-48.00, -181.00)",-35.20,Clockwise
6,"(-93.00, -162.00)",-14.08,Clockwise
6,"(-132.00, -132.00)",-8.57,Clockwise
6,"(-162.00, -94.00)",-13.63,Clockwise
6,"(-181.00, -48.00)",-3.41,Clockwise
6,"(-187.00, 0.00)",-16.13,Clockwise
6,"(-181.00, 48.00)",-20.53,Clockwise
6,"(-162.00, 94.00)",-37.47,Clockwise
6,"(-132.00, 132.00)",-70.02,Clockwise
6,"(-94.00, 162.00)",-20.50,Clockwise
6,"(-48.00, 181.00)",-16.35,Clockwise
6,"(0.00, 187.00)",-48.99,Clockwise
6,"(48.00, 181.00)",-49.25,Clockwise
6,"(93.00, 162.00)",-41.22,Clockwise
6,"(132.00, 132.00)",22.76,Anticlockwise
6,"(162.00, 94.00)",-41.88,Clockwise
6,"(181.00, 48.00)",-55.34,Clockwise
7,"(223.00, 0.00)",-16.60,Clockwise
7,"(217.00, -50.00)",-9.40,Clockwise
7,"(201.00, -97.00)",73.36,Anticlockwise
7,"(174.00, -139.00)",20.86,Anticlockwise
7,"(139.00, -174.00)",48.18,Anticlockwise
7,"(97.00, -201.00)",68.08,Anticlockwise
7,"(50.00, -217.00)",-4.37,Clockwise
7,"(0.00, -223.00)",-29.24,Clockwise
7,"(-50.00, -217.00)",-34.25,Clockwise
7,"(-97.00, -201.00)",-25.46,Clockwise
7,"(-139.00, -174.00)",-45.61,Clockwise
7,"(-174.00, -139.00)",-61.12,Clockwise
7,"(-201.00, -97.00)",-71.88,Clockwise
7,"(-217.00, -50.00)",-6.06,Clockwise
7,"(-223.00, 0.00)",-20.12,Clockwise
7,"(-217.00, 50.00)",-58.96,Clockwise
7,"(-201.00, 97.00)",-42.46,Clockwise
7,"(-174.00, 139.00)",-59.12,Clockwise
7,"(-139.00, 174.00)",77.13,Anticlockwise
7,"(-97.00, 201.00)",-48.93,Clockwise
7,"(-50.00, 217.00)",-31.54,Clockwise
7,"(0.00, 223.00)",-36.21,Clockwise
7,"(50.00, 217.00)",-60.50,Clockwise
7,"(97.00, 201.00)",-51.94,Clockwise
7,"(139.00, 174.00)",-4.91,Clockwise
7,"(174.00, 139.00)",-7.34,Clockwise
